,perm_imp_mean
trad_service,0.03625000000000001
prov_Neobanca/Fintech,0.03050000000000002
prov_Banca tradizionale,0.027500000000000017
imp_branch,0.025000000000000022
imp_app,0.015750000000000014
trad_innov,0.015500000000000014
use_credito_bnpl,0.014750000000000013
IDX_IMPORTANCE,0.013250000000000015
fin_fees,0.011250000000000013
imp_no_fees,0.011000000000000013
use_nessuno,0.01100000000000001
age_26-30,0.009000000000000008
IDX_FIN,0.008750000000000016
imp_innovation,0.008500000000000004
imp_brand,0.007000000000000011
IDX_TRAD,0.007000000000000009
imp_onboarding,0.006250000000000011
imp_cashback,0.00575000000000001
age_18-21,0.0047500000000000155
fin_trust,0.0035000000000000196
use_invest_trading,0.0015000000000000013
trad_trust,0.000750000000000009
use_risparmio_budgeting,0.0007500000000000007
age_22-25,-0.0002499999999999947
use_conti_pagamenti,-0.0034999999999999975
prov_Poste,-0.0037500000000000033
trad_fees,-0.005999999999999986
fin_ux,-0.01299999999999998
trad_ux,-0.019249999999999986
