,perm_imp_mean
trad_service,0.043749999999999976
fin_trust,0.04299999999999998
imp_brand,0.03699999999999999
fin_fees,0.03199999999999999
imp_cashback,0.031499999999999986
imp_branch,0.02749999999999999
prov_Neobanca/Fintech,0.026249999999999985
IDX_IMPORTANCE,0.024999999999999994
age_18-21,0.023249999999999996
IDX_FIN,0.022999999999999993
imp_app,0.02174999999999999
use_nessuno,0.020749999999999994
trad_innov,0.019250000000000003
age_26-30,0.019
prov_Banca tradizionale,0.018749999999999996
IDX_TRAD,0.015499999999999996
age_22-25,0.015250000000000003
use_conti_pagamenti,0.013250000000000007
use_credito_bnpl,0.011500000000000005
imp_no_fees,0.011000000000000006
fin_ux,0.007250000000000001
use_invest_trading,0.005500000000000005
prov_Poste,0.0025000000000000022
trad_fees,0.0012500000000000011
trad_trust,0.0007500000000000007
trad_ux,0.0007499999999999951
imp_innovation,0.0004999999999999949
use_risparmio_budgeting,-0.0007500000000000007
imp_onboarding,-0.0007500000000000035
