y=0,dy/dx,std err,z,P>|z|,[0.025,0.975]
IDX_TRAD,    0.1747,    0.043,    4.089, 0.000,    0.091,    0.258
IDX_FIN,   -0.1350,    0.033,   -4.092, 0.000,   -0.200,   -0.070
IDX_IMPORTANCE,    0.0767,    0.040,    1.921, 0.055,   -0.002,    0.155
22-25,   -0.0006,    0.037,   -0.017, 0.986,   -0.073,    0.072
18-21,    0.0639,    0.036,    1.766, 0.077,   -0.007,    0.135
y=1,dy/dx,std err,z,P>|z|,[0.025,0.975]
IDX_TRAD,   -0.0177,    0.045,   -0.388, 0.698,   -0.107,    0.071
IDX_FIN,   -0.0222,    0.036,   -0.625, 0.532,   -0.092,    0.047
IDX_IMPORTANCE,   -0.1029,    0.043,   -2.414, 0.016,   -0.186,   -0.019
22-25,    0.0008,    0.039,    0.022, 0.983,   -0.075,    0.077
18-21,   -0.0929,    0.039,   -2.379, 0.017,   -0.170,   -0.016
y=2,dy/dx,std err,z,P>|z|,[0.025,0.975]
IDX_TRAD,   -0.1570,    0.035,   -4.455, 0.000,   -0.226,   -0.088
IDX_FIN,    0.1572,    0.028,    5.627, 0.000,    0.102,    0.212
IDX_IMPORTANCE,    0.0261,    0.034,    0.779, 0.436,   -0.040,    0.092
22-25,   -0.0002,    0.031,   -0.007, 0.995,   -0.061,    0.060
18-21,    0.0291,    0.031,    0.946, 0.344,   -0.031,    0.089
